================================================================================
                FINAL AGENT B CURRICULUM TRAJECTORY TRACE (ALL STEPS)
================================================================================
Step  | Lane ID         | Edge ID      | Speed (m/s)  | Route Idx | Remaining Route
--------------------------------------------------------------------------------
1     | entry_N_0       | entry_N      | 0.02         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
2     | entry_N_0       | entry_N      | 0.03         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
3     | entry_N_0       | entry_N      | 0.05         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
4     | entry_N_0       | entry_N      | 0.07         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
5     | entry_N_0       | entry_N      | 0.09         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
6     | entry_N_0       | entry_N      | 0.10         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
7     | entry_N_0       | entry_N      | 0.12         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
8     | entry_N_0       | entry_N      | 0.14         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
9     | entry_N_0       | entry_N      | 0.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
10    | entry_N_0       | entry_N      | 0.17         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
11    | entry_N_0       | entry_N      | 0.19         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
12    | entry_N_0       | entry_N      | 0.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
13    | entry_N_0       | entry_N      | 0.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
14    | entry_N_0       | entry_N      | 0.24         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
15    | entry_N_0       | entry_N      | 0.26         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
16    | entry_N_0       | entry_N      | 0.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
17    | entry_N_0       | entry_N      | 0.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
18    | entry_N_0       | entry_N      | 0.31         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
19    | entry_N_0       | entry_N      | 0.32         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
20    | entry_N_0       | entry_N      | 0.34         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
21    | entry_N_0       | entry_N      | 0.36         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
22    | entry_N_0       | entry_N      | 0.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
23    | entry_N_0       | entry_N      | 0.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
24    | entry_N_0       | entry_N      | 0.41         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
25    | entry_N_0       | entry_N      | 0.43         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
26    | entry_N_0       | entry_N      | 0.44         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
27    | entry_N_0       | entry_N      | 0.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
28    | entry_N_0       | entry_N      | 0.48         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
29    | entry_N_0       | entry_N      | 0.49         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
30    | entry_N_0       | entry_N      | 0.51         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
31    | entry_N_0       | entry_N      | 0.53         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
32    | entry_N_0       | entry_N      | 0.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
33    | entry_N_0       | entry_N      | 0.56         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
34    | entry_N_0       | entry_N      | 0.58         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
35    | entry_N_0       | entry_N      | 0.60         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
36    | entry_N_0       | entry_N      | 0.61         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
37    | entry_N_0       | entry_N      | 0.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
38    | entry_N_0       | entry_N      | 0.65         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
39    | entry_N_0       | entry_N      | 0.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
40    | entry_N_0       | entry_N      | 0.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
41    | entry_N_0       | entry_N      | 0.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
42    | entry_N_0       | entry_N      | 0.72         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
43    | entry_N_0       | entry_N      | 0.73         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
44    | entry_N_0       | entry_N      | 0.75         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
45    | entry_N_0       | entry_N      | 0.77         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
46    | entry_N_0       | entry_N      | 0.79         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
47    | entry_N_0       | entry_N      | 0.80         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
48    | entry_N_0       | entry_N      | 0.82         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
49    | entry_N_0       | entry_N      | 0.84         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
50    | entry_N_0       | entry_N      | 0.85         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
51    | entry_N_0       | entry_N      | 0.87         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
52    | entry_N_0       | entry_N      | 0.89         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
53    | entry_N_0       | entry_N      | 0.91         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
54    | entry_N_0       | entry_N      | 0.92         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
55    | entry_N_0       | entry_N      | 0.94         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
56    | entry_N_0       | entry_N      | 0.96         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
57    | entry_N_0       | entry_N      | 0.97         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
58    | entry_N_0       | entry_N      | 0.99         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
